mm_title,mm_name,category,flabel,sdesc,ldesc
"Maturity Level 2 (Privacy, including Indigenous data)",maturity_level_2,content,Contains Identifiable Data,Does the data hold identifiable individual data?,"Does the data hold identifiable individual data that can be used to uniquely identify an individual data was collected about? If yes, the dataset is not anonymized."
"Maturity Level 2 (Privacy, including Indigenous data)",maturity_level_2,content,Contains Indigenous Data,Does the data hold data about Indigenous communities?,"Does the data hold data about Indigenous communities? If yes, the dataset should comply with OCAP principles (Ownership, Control, Access, Possession). See https://fnigc.ca/ocap-training/ for more information."
"Maturity Level 2 (Privacy, including Indigenous data)",maturity_level_2,access,Limits on use,Limits on use of data.,"Limits on use (e.g., academic purposes). Information provided generally provides more detail on the terms and access rights beyond the license. Usually provided by the rights owner, creator, or publisher."
"Maturity Level 2 (Privacy, including Indigenous data)",maturity_level_2,access,Access Rights Steward,Who to contact regarding access.,"The access rights steward is the point of contact (either a person or an organization) to gain access to the dataset. Usually provided by the rights owner, creator, or publisher."
"Maturity Level 2 (Privacy, including Indigenous data)",maturity_level_2,ownership,Who gave permission (for Indigenous data),Who to contact regarding access to a dataset that has data about Indigenous communities.,"The Indigenous access rights steward is the point of contact (either a person or an organization) to gain access to the dataset. It is an agent that has the right to manage access rights to Indigenous data. That person can be Indigenous themselves or a non-Indigenous agent that acts as the steward for access rights to the data. Usually provided by the previous rights owner, creator, or publisher."
"Maturity Level 2 (Privacy, including Indigenous data)",maturity_level_2,tempo_geo,The Indigenous communities the dataset is about.,Indigenous communities from which data is derived.,Indigenous communities from which data is derived. this represents the community coverage of the communities that provided the data or are the subject of data stored in the dataset.
Maturity Level 3 (Content),maturity_level_3,content,Language,Language(s) of the dataset,Language(s) of the dataset capture what language the data is in. It does not reflect the langage o the metadata associated with it.
Maturity Level 3 (Content),maturity_level_3,content,Persistent Identifier,Data is identified by a persistent identifier.,"Data is identified by a persistent identifier. A unique identifier can be in any format, as long as it is unique withn some context. Often, this is stored as a unique resource identifier (URI)."
Maturity Level 3 (Content),maturity_level_3,content,Globally Unique Identifier,Data is identified by a persistent and globally unique identifier.,"Data is identified by a persistent and globally unique identifier. A unique identifier can be in any format as long as it is globally unique. Often, this is stored as a unique resource identifier (URI)."
Maturity Level 3 (Content),maturity_level_3,content,Link to dataset description,A URL to an external document describing the dataset.,A URL to an external document describing the dataset. Often this would be a website that provides additional details about the dataset. It can also link to a document (e.g. PDF) or a resource of some sort (e.g. LinkedData object).
Maturity Level 3 (Content),maturity_level_3,tempo_geo,Temporal resolution,Describes how granular the date/time data in the dataset is.,"Describes how granular the date/time data in the dataset is. Usually, this explains the level of aggregation provided by the dataset. For example, time-series data can be by minute, hour, year, or season."
Maturity Level 3 (Content),maturity_level_3,tempo_geo,GeoSpatial resolution,Describes how granular geospatial data is in the dataset.,"Describes how granular geospatial data is in the dataset. Usually, this explains the level of aggregation provided by the dataset. For example, geospatial information can be at the city, province, region, or country level. It can also be stored as a polygon defined by longitude/latitude coordinates."
Maturity Level 4 (FAIR),maturity_level_4,content,Data complies with a community standard (RDA-R1.3-01D),This indicator requires that data complies with community standards. (FAIR ID = RDA-R1.3-01D).,This indicator is linked to the following principle: R1.3: (Meta)data meet domain relevant community standards. The indicator can be evaluated by verifying that the data follows a community standard. A service like the RDA-endorsed FAIR-sharing could be helpful to identify the relevant standards. The indicator can be evaluated by verifying that the data follows a community standard. A service like the RDA-endorsed FAIR-sharing could be helpful to identify the relevant standards.
Maturity Level 4 (FAIR),maturity_level_4,content,Data uses knowledge representation expressed in standardised format (RDA-I1-01D),"The indicator serves to determine that an appropriate standard is used to express knowledge, in particular the data model and format (FAIR ID = RDA-I1-01D).","This indicator is linked to the following principle: I1: (Meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation. The indicator can be evaluated by looking at information about the data model and format, verifying that the standard used is appropriate for the domain and the type of digital object. Deciding on the appropriateness of the knowledge representation may be based on its inclusion in a registry like the one developed by FAIR-sharing."
Maturity Level 4 (FAIR),maturity_level_4,content,Data uses machine-understandable knowledge representation (RDA-I1-02D),This indicator focuses on the machine-understandability aspect of the data. This means that data should be readable and thus interoperable for machines without any requirements such as specific translators or mappings (FAIR ID = RDA-I1-02D).,"This indicator is linked to the following principle: I1: (Meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation. This indicator can be evaluated by looking at the knowledge representation model used for the expression of the data. Examples are RDF, OWL, JSON-LD, Data Cube, the Generalized Data Model for clinical research and SKOS. Information about models and formats can be looked up in a registry like the RDA endorsed FAIR-sharing (see for example: https://fairsharing.org/standards/?q=&selected_facets=type_exact:model/format)."
Maturity Level 4 (FAIR),maturity_level_4,content,Data uses FAIR-compliant vocabularies (RDA-I2-01D),"The indicator requires the controlled vocabulary used for the data to conform to the FAIR principles, and at least be documented and resolvable using globally unique and persistent identifiers. The documentation needs to be easily findable and accessible (FAIR ID = RDA-I2-01D).","This indicator is linked to the following principle: I2 : (Meta)data use vocabularies that follow the FAIR principles. The indicator can be evaluated by verifying that each of the vocabularies used in the data is documented and resolvable using globally unique and persistent identifiers, with the documentation being easily findable and accessible. Typically, the reference to the specification of the vocabularies used will be included in the documentation of the digital object or the repository where it is kept."
Maturity Level 4 (FAIR),maturity_level_4,content,Data includes references to other data (RDA-I3-01D ),"This indicator is about the way data is connected to other data, for example linking to previous or related research data that provides additional context to the data (FAIR ID = RDA-I3-01D).","This indicator is linked to the following principle: I3: (Meta)data include qualified references to other (meta)data. The indicator can be evaluated by looking at the presence of references to other data in the data. For example, there may be links to other resources in cells in a spreadsheet, or in RDF-based data."
Maturity Level 4 (FAIR),maturity_level_4,access,Data is accessible through an access protocol that supports authentication and authorisation (RDA-A1.2-01D),The indicator requires that if the data or local environment indicates a degree of additional protection then the access protocol must support authentication and authorisation of people and/or machines? (FARI ID = RDA-A1.2-01D),This indicator is linked to the following principle: A1.2: The protocol allows for an authentication and authorisation where necessary. The indicator can be evaluated by assessing whether an authentication and authorisation process is present in the protocol (e.g. HMAC).
Maturity Level 4 (FAIR),maturity_level_4,access,Data can be accessed manually (RDA-A1-02D),"Data can be accessed manually (i.e., with human intervention, FAIR ID = RDA-A1-02D).","The indicator refers to any human interactions that are needed if the requester wants to access the digital object. The FAIR principle refers mostly to automated interactions where a machine is able to access the digital object, but there may also be digital objects that require human interactions, such as clicking on a link on a landing page, sending an e-mail to the data owner, or even calling by telephone. This indicator is linked to the following principle: A1: (Meta)data are retrievable by their identifier using a standardised communication protocol. The indicator can be evaluated by looking for information in the metadata that describes how access to the digital object can be obtained through human intervention."
Maturity Level 4 (FAIR),maturity_level_4,access,Data identifier resolves to a digital object (RDA-A1-03D),Data identifier resolves to a digital object (FAIR ID = RDA-A1-03D),This indicator is about the resolution of the identifier that identifies the digital object. The identifier assigned to the data should be associated with a formally defined retrieval/resolution mechanism that enables access to the digital object or provides access instructions for access in the case of human-mediated access. The FAIR principle and this indicator do not say anything about the mutability or immutability of the digital object that is identified by the data identifier -- this is an aspect that should be governed by a persistence policy of the data provider. This indicator is linked to the following principle: A1: (Meta)data are retrievable by their identifier using a standardised communication protocol. The indicator can be evaluated by invoking the mechanism specific to the protocol (e.g. GET for HTTP) and verifying that this delivers the digital object.
Maturity Level 4 (FAIR),maturity_level_4,access,Data is accessible through a standardised protocol (RDA-A1-04D),The indicator refers to automated interactions between machines to access digital objects. The way machines interact and grant access to the digital object will be evaluated by the indicator (FAIR ID = RDA-A1-04D).,"This indicator is linked to the following principle: A1: (Meta)data are retrievable by their identifier using a standardised communication protocol. This indicator can be evaluated by resolving the link to the data, e.g. by resolving the persistent identifier and verifying that the data is reached. In the common case that the identifier is an HTTP URI, this can be done using the HTTP GET method. The evaluator or evaluation tool may also want to verify that the resolution delivers the correct data."
Maturity Level 4 (FAIR),maturity_level_4,access,Data can be accessed automatically (RDA-A1-05D),"Data can be accessed automatically (i.e. by a computer program, FAIR ID = RDA-A1-05D)","The indicator refers to automated interactions between machines to access digital objects. The way machines interact and grant access to the digital object will be evaluated by the indicator. This indicator is linked to the following principle: A1: (Meta)data are retrievable by their identifier using a standardised communication protocol. This indicator can be evaluated by resolving the link to the data, e.g. by resolving the persistent identifier and verifying that the data is reached. In the common case that the identifier is an HTTP URI, this can be done using the HTTP GET method. The evaluator or evaluation tool may also want to verify that the resolution delivers the correct data."
Maturity Level 4 (FAIR),maturity_level_4,access,Data is accessible through a free access protocol (RDA-A1.1-01D),The indicator requires that the protocol can be used free of charge which facilitates unfettered access (FAIR ID = RDA-A1.1-01D).,"This indicator is linked to the following principle:A1.1 : The protocol is open, free and universally implementable. This indicator can be evaluated by verifying that the protocol is free of charge. This is the case for most protocols in use, for example HTTP and FTP."
Maturity Level 5 (Quality),maturity_level_5,quality,Data quality,Describes the quality of the data in the dataset.,"Quality of the data can be a simple description (e.g. ""high quality for 80%""), a simple scale (e.g. ""3 out of 4"") or specific values and metrics (e.g. ""80% of cells re missing"")."
Maturity Level 5 (Quality),maturity_level_5,quality,Metric for data quality,"A metric used to measure the quality of the data, such as missing values or invalid formats.","Quality metrics can be any metrics used to measure the quality of the dataset as a whole. For example, the VIMO metrics are used to measure how many cells are valid, invalid, missing, or outliers."
